wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6189.52,6189,2.5,0.5,D,5.8,1.4,D,0.9,0.3,D,1.9,0.4,D,0.9,,L,1.5,,L,0.7,,L,2.6,,L,1.7,,L,1.2,,L,3.2,0.4,D,3.3,0.5,D,1.7,0.4,D,4.3,0.4,D,7.1,0.8,D,7.4,1.2,D,1.7,0.2,D,7.5,0.3,D,8,0.5,D,7.3,0.7,D,6.2,0.8,D,6.8,1.2,D,3.3,0.4,D,1.3,0.4,D,2.1,0.5,D
6194.73,6194,6.9,0.4,D,2.6,,L,1.5,0.1,D,3.3,0.3,D,0.4,,L,2.8,0.4,D,3.2,0.2,D,1.6,,L,0.7,,L,0.9,,L,5.1,0.2,D,,,R,3.6,0.4,D,3.2,0.3,D,12.2,0.4,D,11.5,0.6,D,3.2,0.2,D,8.9,0.2,D,3,0.4,D,8,0.3,D,5.6,0.5,D,11.4,0.6,D,8,0.3,D,4.1,0.2,D,,,R
6195.99,6196,59.5,0.6,D,26.9,0.6,D,14.9,0.2,D,30.8,0.4,D,3.5,0.2,D,15,0.4,D,18.1,0.3,D,19.8,0.5,D,10.2,0.3,D,8.8,0.5,D,48.2,0.3,D,,,R,39,0.4,D,12.1,0.6,D,92,0.5,D,103.7,0.9,D,17.2,0.2,D,95.8,0.2,D,39.3,0.5,D,56.2,0.4,D,91.1,0.6,D,104.1,0.6,D,41.1,0.4,D,29.4,0.3,D,42.3,0.5,D
6196.98,6197,3.1,0.5,D,4.1,0.9,D,2,0.3,D,1.3,,L,1.3,,L,1.9,0.3,D,0.9,,L,1.8,,L,1.8,0.3,D,2.3,0.4,D,1.9,0.3,D,2.7,0.4,D,7.3,0.3,D,1.5,,L,4.1,0.3,D,6.9,0.7,D,1.3,0.1,D,2.2,0.2,D,2.8,0.3,D,1,,L,3.1,0.6,D,5.4,0.5,D,3.9,0.3,D,1.2,,L,1.4,,L
6198.99,6199,,,R,4.9,,L,1.6,,L,1.4,0.1,D,0.6,,L,1.2,,L,1.7,0.4,D,2.6,,L,0.9,,L,1.1,0.3,D,5.9,0.2,D,,,R,1,,L,1.9,,L,5.5,0.1,D,8.5,0.3,D,1.9,0.2,D,5.5,0.2,D,2.5,0.3,D,3.2,0.2,D,9.5,0.4,D,7.9,0.6,D,1.9,0.2,D,1.5,,L,,,R
6203.58,6203,171.4,3.9,D,43,6.2,D,23.4,2.4,D,100.7,2.1,D,7.8,1,D,37.6,2.1,D,57.7,1.4,D,31.9,4.6,D,60.4,2.7,D,40.7,2.4,D,156.8,2.8,D,86.5,4.1,D,103.3,1.8,D,26.6,4.3,D,291.6,3.8,D,319.6,4.1,D,51.3,1.4,D,349.7,1.7,D,193.2,3,D,228.6,2.3,D,363.9,2.6,D,373,6.8,D,109.8,2.4,D,94.1,2,D,216.5,2.5,D
6210.07,6210,1.5,0.4,D,3.1,,L,1.3,0.2,D,1,0.3,D,0.5,,L,0.7,0.2,D,1.2,0.3,D,1.4,0.5,D,0.3,,L,1,,L,1,,L,5.8,0.9,D,2,0.3,D,4.4,0.6,D,3,0.2,D,12.6,1.1,D,,,R,2.5,0.6,D,1.4,0.3,D,7.1,0.3,D,1.4,0.4,D,4,0.4,D,1.8,0.2,D,1.6,0.2,D,3,0.3,D
6210.9,6211,2.8,0.2,D,2.4,,L,0.4,,L,3.4,0.3,D,0.4,,L,0.7,,L,1.4,0.2,D,3.1,0.4,D,0.3,,L,0.9,,L,0.3,,L,3.2,0.8,D,4,0.3,D,1.2,,L,4.6,0.1,D,3.3,1,D,2,0.2,D,3,0.5,D,3,0.2,D,3,0.3,D,2.7,0.3,D,3.5,0.4,D,2.3,0.2,D,2.2,0.1,D,4,0.2,D
6211.69,6212,10.5,0.5,D,2.7,,L,1.5,0.2,D,4.1,0.4,D,0.6,,L,1.9,0.3,D,2.1,0.3,D,3.6,0.6,D,1.3,0.3,D,0.6,,L,6.9,0.4,D,4.9,1.1,D,8.3,0.5,D,1.8,,L,22.4,0.2,D,18.2,1,D,5.2,0.2,D,15.7,0.3,D,6.2,0.2,D,12.6,0.3,D,13.3,0.6,D,21.2,0.6,D,7.5,0.3,D,4.1,0.2,D,7.5,0.3,D
6212.95,6213,5,0.4,D,5.9,1,D,1.1,,L,3.1,0.4,D,0.8,,L,0.8,,L,1.4,0.3,D,2.6,,L,1.1,0.3,D,0.9,,L,2.8,0.3,D,,,R,5.7,0.4,D,2.2,,L,12.7,0.4,D,5.6,1.3,D,1.3,0.3,D,7.6,0.3,D,3,0.3,D,3.7,0.4,D,6.5,0.4,D,10.3,0.6,D,4.2,0.3,D,3.5,0.2,D,2.5,0.1,D
