wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6750.76,6750,1.9,,L,2.6,,L,1.2,,L,0.8,,L,0.5,,L,1.3,,L,0.8,,L,1.1,,L,0.7,,L,0.9,,L,1.3,,L,0.9,,L,2,0.2,D,1.3,,L,4.8,0.3,D,3.7,,L,,,R,5.9,0.6,D,1.9,0.2,D,0.7,,L,4.1,0.3,D,3.8,,L,2.9,0.2,D,1.7,0.2,D,1.7,0.2,D
6752.46,6752,2.4,0.3,D,2.9,,L,0.4,,L,1.9,0.2,D,0.4,,L,0.7,0.2,D,0.9,0.2,D,1.2,,L,0.4,,L,0.6,,L,0.3,,L,0.8,,L,1.4,0.3,D,1.4,,L,3,0.3,D,2.2,0.4,D,,,R,5.5,0.2,C,1.6,0.2,D,0.8,,L,2.5,0.4,D,2.3,0.2,D,0.9,0.1,D,0.8,,L,0.9,,L
6755.95,6755,2.5,0.8,D,6.6,,L,0.7,,L,2,,L,0.7,,L,2,,L,2,0.4,D,,,R,1.1,,L,1.4,,L,3,0.7,D,8.8,,L,1.3,,L,8.1,0.8,D,2.4,,L,5.3,,L,2.7,0.7,D,7.6,0.3,D,1,,L,5.8,0.8,D,4.6,1.3,D,6.7,,L,2.2,,L,0.8,,L,4.5,0.5,C
6757.11,6757,3.5,0.4,D,5.2,,L,0.9,,L,1.4,,L,1.2,,L,1.3,,L,1,,L,,,R,1,,L,1.3,,L,1.3,,L,,,R,1.5,,L,2.2,0.7,D,4.8,0.3,D,2.2,,L,1.8,0.2,D,8.6,0.2,D,4.4,0.4,D,10.1,0.5,D,1.2,,L,10.1,1.8,D,3.1,0.5,D,0.7,,L,,,R
6759.26,6759,2.7,,L,5.9,,L,1.5,,L,1.5,,L,2.3,0.5,D,1.9,,L,1,,L,2.9,,L,1,,L,1.8,,L,2.1,,L,3,,L,1.1,,L,4.7,,L,2.9,0.3,D,2.4,,L,1.6,,L,4.5,0.4,D,1.5,,L,5.3,0.5,D,1.2,,L,11,2.6,D,0.5,,L,1.3,,L,0.5,,L
6762.13,6762,2.1,,L,4.8,,L,0.7,,L,1.6,0.3,D,1.4,,L,1.6,,L,0.9,0.2,D,2.9,,L,0.5,,L,1.3,,L,1.3,0.3,D,3,,L,2.1,0.3,D,3.3,,L,4.2,0.2,D,5.7,1.6,D,1.1,,L,5.9,0.3,D,5,0.4,D,2.2,0.4,D,4.2,0.5,D,10.2,2.2,D,2.3,0.1,D,1,,L,1.2,,L
6765.29,6765,2.3,,L,3.8,0.6,D,0.8,0.2,D,3.3,0.3,D,0.8,,L,2.6,0.6,D,2.2,0.2,D,2.1,0.6,D,0.3,,L,1.1,,L,3,0.2,D,1.3,,L,4.8,0.2,D,2.7,,L,12.8,0.2,D,7.7,0.9,D,1.6,,L,5.3,0.5,D,1.5,,L,4.5,0.3,D,6.6,0.4,D,10.3,0.8,D,5.7,0.2,D,3.9,0.3,D,0.6,,L
6767.69,6767,4.4,0.7,D,3.8,,L,0.9,,L,0.7,0.1,D,0.8,,L,1.5,,L,0.7,,L,2,,L,0.6,,L,0.6,,L,2.7,0.2,D,,,R,1,,L,2.7,,L,4.4,0.2,D,2.6,,L,1.3,,L,5.8,0.6,D,1.9,0.2,D,3.8,0.2,D,3.3,0.3,D,7.9,0.8,D,3.5,0.4,D,0.7,,L,3.7,0.4,D
6770.17,6770,8.7,0.3,D,3.3,,L,0.9,,L,4.5,0.3,D,0.5,,L,2,0.3,D,3.6,0.2,D,5.8,0.5,D,0.9,,L,1.5,0.4,D,7.4,0.2,D,,,R,4.2,0.3,D,2.2,,L,15.8,0.4,D,11.8,0.8,D,4.2,0.3,D,22.4,0.3,D,6.9,0.1,D,8.9,0.4,D,16,0.5,D,22.9,0.5,D,4.3,0.1,D,5,0.4,D,7.2,0.5,D
6773.36,6773,1.5,,L,3.4,,L,1.5,0.3,D,1.2,,L,0.4,,L,1,,L,1.1,,L,0.9,,L,0.6,,L,1,,L,0.9,,L,0.9,,L,2,0.3,D,1.3,,L,1.6,0.3,D,2.9,0.4,D,0.9,,L,3.7,0.2,D,1.6,0.3,D,4.7,0.4,C,1.7,,L,3.9,,L,1.3,0.3,D,1.3,,L,1.5,0.3,D
6775.37,6775,1.9,,L,3.9,,L,0.5,,L,1.1,,L,1,,L,1.6,,L,1.4,0.3,D,4.1,,L,0.6,,L,1.3,,L,3.2,0.1,D,1.9,,L,2.4,0.5,D,1.5,,L,3.6,0.2,D,1.7,,L,1.1,,L,4.7,0.3,D,3.8,0.4,D,1.7,,L,1.8,,L,4.7,,L,1.8,0.3,D,1.6,0.3,D,2.1,0.4,D
6778.97,6778,3.5,0.5,D,3.5,,L,1.5,,L,1.9,0.4,D,0.5,,L,1.5,,L,1.8,0.3,D,8.2,1,D,1.2,,L,1.1,0.3,D,,,R,2.7,,L,3.1,0.6,C,2.4,,L,7.7,0.5,D,4.9,1.3,D,3.1,0.4,D,5.7,0.3,C,3.8,0.4,D,,,R,5.1,0.5,D,10.5,0.8,D,2.1,0.2,D,1.2,0.3,D,1.9,,L
6780.68,6780,3.4,0.4,D,4.3,,L,3.6,0.4,D,1.4,,L,0.5,,L,1.9,0.3,D,0.7,,L,2.3,,L,0.8,,L,0.9,,L,,,R,1.6,,L,3.7,0.4,C,2,,L,4.5,0.1,D,8.4,0.6,D,1.2,,L,7.4,0.6,D,,,R,,,R,3.5,0.2,D,4.4,,L,2.9,0.2,D,1.1,,L,0.8,,L
6786.39,6786,2.2,,L,6.2,,L,1.2,,L,1.1,,L,0.7,,L,3.1,0.3,D,2.2,0.3,D,3.2,,L,1.1,,L,,,R,2.9,,L,,,R,2,,L,4.4,,L,7.1,0.5,D,4.8,1.2,D,2.4,0.6,D,5.5,0.5,D,0.9,,L,8,0.5,D,8.4,0.6,D,13.1,0.5,D,2.2,0.2,D,1.6,0.2,D,3.3,0.4,D
6788.83,6788,5.8,0.7,D,4.9,,L,0.6,0.1,D,2.4,0.3,D,0.9,,L,1.6,,L,0.8,0.2,D,3.5,,L,1,,L,2.3,0.1,D,4.5,0.4,D,4.1,0.8,D,4.4,0.6,D,5.3,0.5,D,8.6,0.4,D,16.6,0.8,D,1.2,,L,11.9,0.6,D,6.6,0.4,D,5,0.3,D,10.9,0.6,D,11.5,0.9,D,2.2,0.3,D,1.3,0.2,D,3,0.5,D
6792.51,6792,5.2,0.4,D,3.2,,L,1.5,0.2,D,2.4,0.2,D,0.4,,L,0.7,,L,1.6,0.2,D,2.3,,L,0.8,,L,0.5,,L,3.2,0.7,D,2.1,,L,1.3,,L,1.9,,L,7,0.2,D,4.5,,L,1.2,0.2,D,13.1,0.2,D,,,R,3.9,0.5,D,8.8,0.5,D,7.6,0.8,D,2.7,0.1,D,1.5,0.3,D,3.1,0.5,D
6795.26,6795,7.9,0.2,D,8.2,0.7,D,2.4,0.2,D,4.9,0.3,D,0.4,,L,2.2,0.2,D,2.1,0.2,D,2.3,,L,0.7,,L,0.4,,L,6.3,0.3,D,7.1,0.3,D,8.1,0.6,D,1.3,,L,14.9,0.4,D,15.4,0.5,D,2.3,0.2,D,12.7,0.2,D,2.5,0.3,D,8.7,1,D,12.2,0.5,D,16.2,0.8,D,8,0.1,D,3.2,0.3,D,4.4,0.3,D
6796.32,6796,2.2,0.4,D,4.9,,L,1.9,,L,1.9,,L,1.6,,L,,,R,3.8,0.8,D,,,R,2.7,,L,1.6,,L,2.4,0.8,D,,,R,8.3,,L,4,,L,2.3,0.7,D,4.9,,L,0.9,,L,4.7,0.3,D,1.8,,L,6,1.6,D,5.6,0.9,D,4.8,,L,1.4,,L,1.5,,L,2.5,,L
6801.47,6801,5.5,0.7,D,3.8,,L,4.1,0.4,D,3.6,0.4,D,0.8,,L,4.5,0.4,D,1.8,0.4,D,1.9,,L,1.5,,L,0.7,,L,6.9,0.3,D,1.9,,L,3.9,0.3,D,2.5,,L,10,0.7,D,13.9,0.7,D,2.5,0.1,D,16.7,0.7,D,6.5,0.5,D,9.1,0.8,D,16.2,1.2,D,18.4,1,D,5.1,0.2,D,2.5,0.3,D,,,R
6803.35,6803,4.4,0.3,D,3.1,,L,1,,L,2.7,0.3,D,0.6,0.1,D,1.8,,L,1.9,0.3,D,4.5,0.7,D,1,,L,0.7,,L,2.6,0.3,D,2.6,,L,1.2,,L,2.3,,L,9.6,0.3,D,10.8,0.9,D,0.7,,L,11.4,0.5,D,2,0.1,D,7.7,0.6,D,7.7,0.7,D,10.9,0.7,D,2.6,0.3,D,2.7,0.1,D,3.6,0.2,D
6804.53,6804,4.8,1.5,D,6.3,,L,1.9,,L,1.9,,L,1.9,,L,2.6,,L,2.5,0.7,D,8.1,,L,3.3,,L,1.1,,L,3.6,,L,,,R,3.9,,L,4.4,,L,5.4,0.9,D,8.2,0.8,D,2.8,,L,4.8,0.8,D,1.3,,L,4.2,,L,7.9,1.7,D,7.1,0.8,D,5.2,0.8,D,2.4,0.6,D,3.2,0.7,D
6809.49,6809,1.8,0.3,D,4.4,,L,2,0.3,D,0.4,,L,1.2,,L,1.9,,L,0.5,,L,2.4,,L,0.5,,L,0.7,,L,2.7,0.7,D,1.2,,L,1,,L,1.1,,L,2.8,0.4,D,3.3,,L,0.7,,L,4.4,0.3,D,1,,L,1.4,0.3,D,2.6,0.4,D,3.2,0.3,D,0.6,,L,0.7,,L,1,,L
6811.27,6811,17.1,0.1,D,4.4,,L,2.4,0.4,D,5.3,0.2,D,0.5,,L,5.7,0.5,D,3.2,0.2,D,2.3,,L,0.7,,L,1.1,0.2,D,14.9,1.1,D,1.3,,L,4.1,0.3,D,1.5,,L,17.9,0.4,D,23.2,1.1,D,2,0.1,D,33.8,0.2,D,0.7,,L,14.9,0.4,D,32.1,0.6,D,28.3,0.9,D,4.7,0.3,D,5.2,0.3,D,4.7,0.3,D
6812.76,6812,12.1,0.3,D,7.8,,L,0.8,,L,5,0.3,D,1.2,0.3,D,5.8,0.5,D,1.5,,L,3.5,,L,1.5,,L,1.1,,L,8.6,1,D,2.5,,L,9.1,0.6,D,1.6,,L,44.8,1,D,8.7,1.4,D,1.4,,L,17,0.4,D,4.6,0.3,D,8.2,0.8,D,12,0.7,D,13.7,0.6,D,8.1,0.6,D,5.2,0.5,D,6.1,1.1,C
6818.23,6818,7.7,0.5,D,8.4,,L,3.2,,L,1.6,,L,1.4,,L,10.1,1.3,D,2.6,0.5,D,3.5,,L,1.9,,L,2.7,0.5,D,2.5,,L,3.2,,L,2.2,,L,5.7,,L,6.3,0.8,D,6.8,,L,2.4,,L,3.7,0.5,D,3,0.4,D,3.3,,L,9.2,1,D,8.9,1.1,D,1.5,,L,2.4,,L,6.2,1.5,D
6821.73,6821,4,0.4,D,14.8,1.9,D,1.6,,L,3.2,0.8,D,1.5,,L,2.3,,L,8.1,0.3,D,9.9,1.3,D,3.9,0.7,D,5.2,0.5,D,1.8,,L,6.5,,L,1.7,,L,3.7,,L,8.3,0.9,D,9.9,1.5,D,2.8,,L,7.9,0.2,D,3.8,0.5,D,4.1,,L,11.5,0.7,D,9,0.4,D,2.1,,L,1.5,,L,1.4,0.4,D
6823.44,6823,5.4,0.3,D,3.2,,L,0.6,,L,3.1,0.2,D,0.7,,L,0.6,,L,5.7,0.2,D,6,0.5,D,2.2,0.2,D,0.9,,L,2.3,0.2,D,1.8,,L,2.4,0.2,D,1.7,,L,7.4,0.2,D,9.6,0.9,D,1.3,,L,6.2,0.4,D,4,0.3,D,11,0.7,D,8.3,0.4,D,7.8,0.6,D,3.9,0.2,D,4.1,0.1,D,5.9,0.3,D
6825.86,6825,3.1,0.2,D,4.4,,L,1,,L,0.8,0.2,D,1.4,,L,2.6,0.4,D,0.4,,L,1.1,,L,0.6,,L,1.5,,L,0.9,,L,2.1,,L,1.7,0.4,D,3.3,,L,1.8,0.2,D,1.8,,L,1,,L,5.2,0.3,D,3.7,0.5,D,2.1,,L,2.7,0.2,D,3.7,0.1,D,3.2,0.2,D,1.1,0.2,D,4.5,0.1,D
6827.39,6827,15.9,0.7,D,6.2,1.4,D,0.9,,L,5.3,0.4,D,0.9,,L,1.8,,L,5.7,0.3,D,3.7,0.8,D,1,,L,1.6,0.4,D,4.9,0.4,D,1.7,,L,6.5,0.3,D,3.4,,L,19,0.4,D,16.1,1.2,D,5.9,0.4,D,29,0.4,D,8.9,0.3,D,13.1,0.6,D,26.8,0.6,D,26.7,0.9,D,11.7,0.2,D,8.2,0.2,D,12.9,0.7,D
6834.58,6834,5.4,0.6,D,6.8,,L,2.4,0.4,D,1.6,,L,0.9,,L,1.4,0.3,D,2.5,0.6,D,5.1,1.4,D,1.4,,L,1.4,,L,6.2,0.8,D,8.4,1.4,D,4.7,0.7,D,1.9,,L,6.6,1.1,D,5.5,0.9,D,2.4,,L,6.7,0.3,D,4.5,,L,6.5,0.7,D,9.3,0.7,D,10,1,D,3.6,0.3,C,4.9,0.6,D,1.7,,L
6836.36,6836,4.1,0.4,D,6.4,,L,0.9,,L,0.8,,L,1,,L,1.3,,L,4.1,0.6,D,1.7,,L,0.8,,L,1.1,,L,5,,L,4,0.7,D,1.1,,L,1.9,,L,5.1,0.6,D,3.9,,L,1.4,,L,4.6,0.2,D,3.5,0.4,D,1.7,,L,9.6,0.3,D,2.2,,L,0.8,,L,3.2,0.4,D,1.3,,L
6837.74,6837,8.4,0.3,D,3.5,,L,4.9,0.1,D,2.2,0.5,D,0.7,,L,1.6,,L,6.4,0.4,D,2.7,,L,1.5,0.4,D,1.8,0.3,D,4.1,0.6,D,6.4,0.7,D,1.2,,L,1.4,,L,11,0.5,D,11.6,1,D,1.8,,L,8.6,0.2,D,1.5,0.2,D,8.3,0.6,D,10.5,0.4,D,9.4,0.9,D,3.3,0.3,D,1.7,,L,2.1,0.3,D
6839.47,6839,2.1,0.3,D,2.9,,L,2,0.1,D,0.5,,L,1,,L,1.4,0.4,D,1.1,0.3,D,0.9,,L,0.6,,L,1,,L,3,0.2,D,2.7,,L,2.1,0.3,D,0.8,,L,2.7,0.3,D,6.7,0.7,D,1.4,0.3,D,2,0.2,D,1.9,0.3,D,2.2,0.2,D,2.8,0.2,D,1.8,0.2,D,1.2,0.1,D,1.5,,L,1.6,0.4,D
6841.61,6841,1.3,,L,1.6,,L,1.1,,L,2.4,0.3,D,1.1,,L,1.3,,L,1.4,0.3,D,,,R,0.6,,L,1,0.2,D,3.6,0.4,D,,,R,1.6,0.2,D,1.6,,L,6.3,0.4,D,1.9,,L,2.8,0.3,D,7.3,0.2,D,3.1,0.3,D,4.8,0.4,D,12.6,0.4,D,10.9,0.2,D,2.9,0.1,D,2.8,0.3,D,6.1,0.2,D
6843.01,6843,11.6,0.3,D,3.6,,L,0.8,,L,2.1,0.3,D,0.7,,L,1.2,,L,2.7,0.3,D,1.4,,L,0.4,,L,1,,L,4.1,0.4,D,,,R,1.2,,L,1.8,,L,7.6,0.6,D,8.9,0.8,D,3.4,0.2,D,8.7,0.4,D,5.6,0.3,D,7.2,0.4,D,10.4,0.9,D,11.9,0.6,D,4.2,0.2,D,2.8,0.4,D,5.6,1,D
6843.76,6844,12.9,0.9,D,5.4,,L,1.5,,L,7,0.4,D,1.3,,L,3.3,,L,5,0.7,D,4.8,,L,2.3,0.4,D,3.2,0.5,D,10.2,1,D,,,R,3.4,0.7,D,2,,L,23.5,1.4,D,21.1,1.6,D,4.4,0.3,D,37.6,0.5,D,8.2,0.6,D,10.3,2.1,D,21.8,0.5,D,24.5,0.5,D,7.2,0.5,D,5.5,0.4,D,10,0.8,D
6845.37,6845,1.8,,L,5,,L,2.3,0.4,D,2.2,0.2,D,0.8,,L,2,,L,2.1,0.5,D,4.2,,L,0.7,,L,1.2,,L,4,0.2,D,2,,L,1.1,,L,4.4,0.5,D,3.1,0.6,D,2,,L,1.1,,L,4.9,0.4,D,3.4,0.4,D,3.4,0.5,D,5.3,0.6,D,4.3,0.7,D,2.3,0.2,D,1.9,,L,1.4,,L
6846.52,6846,3.9,0.2,D,3.4,,L,0.5,,L,1.4,0.2,D,0.3,,L,1.9,,L,0.6,,L,2.1,,L,0.6,,L,0.7,,L,1.2,,L,1.4,,L,1.1,0.2,D,2.1,,L,2.8,0.8,D,2.4,0.6,D,0.4,,L,3.3,0.2,D,2.4,,L,1.2,,L,3.7,0.3,D,2.8,0.2,D,2.8,0.4,D,2.1,0.1,D,1.4,,L
6847.73,6847,4.3,0.3,D,5.3,,L,1.2,,L,2.5,0.2,D,0.8,,L,1.9,,L,1.6,,L,,,R,0.9,,L,1.2,,L,3.5,0.9,D,,,R,1,,L,2.3,,L,2.4,0.8,D,5.3,0.3,D,3.7,0.5,D,4.9,0.6,D,1.1,,L,1.1,,L,6.3,0.6,D,4,0.8,D,3.2,0.3,D,1.3,,L,1.9,,L
6852.52,6852,8.9,0.3,D,4.7,,L,1.2,,L,3.5,0.2,D,1.3,,L,2.2,0.4,D,2,0.3,D,4.9,0.4,D,1.4,,L,1.2,,L,6.5,0.9,D,3.2,0.4,D,6.8,0.4,D,1.7,,L,15.9,0.4,D,8.9,1.1,D,2.2,0.4,D,16.4,0.7,D,,,R,1.3,,L,11.3,0.3,D,15.6,0.7,D,6.9,0.4,D,1.9,0.5,D,6.4,0.4,D
6860.02,6860,11.4,0.7,D,5.1,,L,2.1,0.5,D,6.7,0.3,D,1.2,,L,3,,L,1.7,0.4,D,5.7,,L,2,,L,2.8,,L,6.3,0.3,D,4.2,,L,0.9,,L,2.2,,L,20.3,1,D,20.3,2,D,4.9,0.6,D,8.9,0.4,C,5.5,0.3,D,13.5,0.5,D,18,0.8,D,25.9,0.4,D,0.6,,L,2.9,0.5,D,3.9,,L
6862.49,6862,,,R,4.7,,L,1.3,0.2,D,2.2,0.2,D,0.9,,L,1.5,,L,1.1,,L,,,R,1.2,,L,1.5,,L,3.4,0.2,D,,,R,3.6,0.4,D,8.2,0.5,C,11,0.4,D,17,1.5,D,7.8,0.3,D,10.9,0.3,C,2.3,0.3,D,6.4,0.2,D,4.3,0.6,D,8.7,0.5,D,3.4,0.4,D,2.3,0.1,D,6.5,1.3,D
6864.7,6864,2.1,0.4,D,3.8,,L,0.6,,L,1.4,,L,0.9,,L,0.9,,L,0.7,,L,2.2,,L,0.3,,L,1.5,,L,5.9,0.1,D,2.2,,L,1.9,0.2,D,1.5,,L,1.6,0.1,D,3,0.7,D,0.6,,L,0.9,0.2,D,,,R,1,0.2,D,2.3,0.5,D,3,0.6,D,2.4,0.3,D,2,0.1,D,2.7,0.5,D
6887.03,6887,26.4,0.9,D,8.3,,L,5.7,,L,8.6,1,C,2,,L,6.4,,L,3.4,,L,12.2,,L,12.9,,L,2.8,,L,3.9,,L,,,R,2.9,,L,6.8,,L,41.1,1.4,D,56.6,1.9,C,,,R,79.8,1.1,C,29.4,0.7,D,38.8,1.9,D,,,R,47.6,1.3,D,14.7,0.7,D,,,R,,,R
6904.04,6904,0.9,,L,1.4,,L,0.7,,L,1.9,,L,1,,L,1.8,,L,2.8,0.4,D,1.8,,L,2.1,,L,3.9,,L,1.3,,L,,,R,2.4,0.3,C,,,R,6.2,0.2,D,,,R,,,R,9.8,0.2,D,,,R,,,R,11.5,0.9,D,,,R,1.9,0.4,D,,,R,6.5,0.7,D
6919.26,6919,30.2,1.2,D,15.9,4.4,D,9.9,1.1,D,15,0.5,D,2.5,,L,3.2,,L,19.3,0.7,D,10.6,,L,3.7,,L,4.4,,L,24.7,1.8,D,21.1,6.7,C,12.2,0.4,D,5.6,,L,39.6,0.8,D,46.7,0.7,D,,,R,62.5,1.7,D,38.6,0.6,D,35,1.2,D,56.8,1.2,D,59.7,1.2,D,22.1,0.9,C,10.5,1.6,C,30.8,1.2,D
6926.48,6926,3.7,0.4,D,8.4,,L,2.1,,L,1.6,,L,1.9,,L,4.2,,L,4.1,,L,4.4,,L,2,,L,1.3,,L,4,0.7,D,8.9,,L,1.2,0.3,D,5.7,,L,7.5,1.4,D,5,,L,3,0.4,D,17.2,0.5,D,2.5,,L,2.5,,L,8.6,1,D,8.3,1.2,D,2.3,0.5,D,7.1,2,D,9.1,0.3,D
6944.62,6944,14.3,0.9,D,4.4,,L,5.4,0.8,D,3.9,0.6,D,0.9,,L,3.8,,L,2.6,,L,8.9,,L,1.7,,L,2.5,,L,15.6,0.7,D,6.9,1.9,C,2,,L,5.1,,L,26,0.7,D,23.2,1.5,D,,,R,28.2,0.9,D,19.1,0.9,D,21.7,1.3,D,20.3,0.7,D,34,1.6,D,6.4,0.9,D,3.5,,L,,,R
6950.61,6950,3,0.6,D,4.1,,L,1.4,,L,2.1,,L,0.9,,L,2.3,,L,,,R,3.9,,L,1.4,,L,0.9,,L,4.8,1.1,D,2.2,,L,0.7,,L,2.9,,L,8.2,0.8,D,3.8,,L,2.2,,L,12.3,0.6,D,5.4,1.3,D,5.4,1.2,C,3.5,,L,6.4,0.7,D,2.6,0.2,D,7.8,,L,4.7,0.8,D
6965.97,6965,1.3,,L,3,,L,1.1,,L,0.8,,L,0.4,,L,1.3,,L,0.4,,L,2.4,0.5,D,0.6,,L,0.5,,L,1.5,,L,2.9,,L,1,,L,2,,L,1.2,,L,1.9,0.4,D,,,R,5.2,0.6,D,0.7,,L,6,0.5,D,2,,L,4.3,0.6,D,0.7,,L,0.8,,L,1.1,,L
6973.7,6973,8.1,0.5,D,3.9,,L,2.7,0.2,D,2.2,0.1,D,0.7,0.2,D,5.6,0.3,D,2.3,0.4,D,3.7,0.3,D,0.7,,L,0.7,,L,7.7,0.7,D,4.7,0.4,D,2.5,0.3,D,2.2,,L,14.4,0.2,D,11.3,0.9,D,0.7,,L,14.7,0.6,D,4.3,0.4,D,14.1,0.5,D,12.7,1,D,13.1,0.5,D,6.1,0.3,D,7,0.5,D,2.8,0.2,D
6978.47,6978,8.9,0.9,D,3,,L,0.8,,L,3.4,0.3,D,0.9,,L,4.2,0.3,D,3.4,0.3,D,5.9,0.7,D,0.7,,L,1.4,,L,9,0.4,D,,,R,2.9,0.5,D,2.9,,L,13.5,0.2,D,8,1,D,3.2,0.3,D,19.2,0.8,D,7.7,0.3,D,8.1,0.4,D,11.3,0.5,D,12.9,0.4,D,5,0.3,D,1.4,,L,6.5,0.3,C
6982.47,6982,4.5,0.6,D,6.2,,L,1.9,,L,1.3,,L,0.7,,L,1.7,,L,2.5,0.4,D,3.2,,L,1.7,,L,2.5,,L,2.6,,L,3,,L,2.6,0.5,D,2.8,,L,8.4,0.5,D,13.2,0.9,D,,,R,10.9,0.8,D,3.8,0.4,D,3,0.5,D,5.2,0.7,D,5.9,0.4,D,3.5,0.2,D,2,,L,1.4,,L
6993.12,6993,101.7,1.4,D,18,1.7,D,7.5,0.6,D,43.1,0.7,D,1.4,,L,14.2,0.6,D,29.2,0.6,D,17.6,2.1,D,5.9,0.3,D,10.2,0.3,D,64.3,0.4,D,12.6,1.6,C,23.8,0.6,D,6.7,,L,132,1.1,D,146.7,2.5,D,17.1,0.2,D,170.4,1.6,D,42.1,0.8,D,80,0.9,D,141.1,0.8,D,140.1,0.8,D,49.1,0.4,D,45.9,2.1,D,75.2,1.1,D
6996.89,6996,3.7,0.9,D,2.6,,L,2.3,0.5,D,2.4,0.5,D,0.7,,L,2.4,,L,1.2,,L,3.8,,L,0.8,,L,0.4,,L,2.5,0.6,D,3.4,,L,1,,L,3.7,,L,7.2,0.4,D,6.7,1.1,D,1.8,,L,5.5,0.3,D,4.1,0.3,D,6.1,0.9,D,3.6,0.5,D,7.7,0.6,D,2.3,0.4,D,5.6,0.7,D,2.4,,L
6998.67,6998,9.2,0.7,D,3.2,,L,1.4,,L,4.4,0.6,D,1,,L,0.9,,L,1,,L,3.8,,L,1.4,,L,0.8,,L,9.3,0.4,D,,,R,1.4,,L,4.4,,L,14.5,0.3,D,3.5,,L,,,R,12.9,0.8,D,7.2,0.5,D,1,,L,1.2,,L,11.2,0.5,D,4.6,0.3,D,0.9,,L,1.8,,L
7002.52,7002,,,R,26.3,1.8,D,3.8,0.9,D,3.1,0.5,D,4.7,,L,5.4,,L,1.9,,L,,,R,2.8,,L,4.4,0.4,D,,,R,,,R,2,,L,8.6,,L,6.5,0.4,D,,,R,,,R,28.6,0.8,C,3.9,0.6,D,8.1,,L,3.3,,L,10.5,2.5,D,1.1,,L,2.8,,L,,,R
7025.33,7025,6.9,1.9,D,20.5,3,D,2.7,,L,3.3,,L,1.5,,L,3.5,,L,12.8,0.9,D,15.1,2.4,D,2.1,,L,2.6,0.5,D,3.7,0.9,D,5.8,,L,12.3,1.3,D,7.6,1.6,D,15.1,1.4,D,23.9,2.8,D,3.4,,L,15.2,1.6,D,4,,L,9.8,1.8,D,1.8,,L,18.5,1.5,D,9,0.8,D,3.7,,L,5.3,,L
7030.26,7030,7.4,0.5,D,12.2,1.7,D,3,0.3,D,3.2,0.7,D,1.7,,L,3.6,0.6,D,14.7,0.5,D,3.8,,L,10.4,0.3,D,1.6,,L,4.2,0.5,D,4.8,1,D,7.6,0.6,D,6.8,0.8,D,13.5,0.8,D,17.8,0.7,D,4.8,0.4,D,16.8,0.9,D,1.5,,L,20.3,1.1,D,13.3,0.5,D,14.5,0.8,D,7.6,0.6,D,13.4,0.8,D,5,,L
7031.64,7031,11.9,1.1,C,5.4,1.5,D,7.2,0.6,C,6.7,0.7,D,1.6,0.3,D,2.4,,L,6.2,0.3,D,2.7,,L,4.6,0.1,D,0.7,,L,38.2,0.9,D,9,1.2,D,4.3,0.8,D,6.3,0.1,C,16.7,0.3,D,,,R,,,R,7.8,0.5,C,3.7,0.5,D,32,1.7,D,10.9,0.5,D,,,R,11,0.2,D,8.2,0.8,D,8.5,0.5,D
7045.88,7045,7.2,0.3,D,2,,L,1.3,,L,1.4,0.3,D,1,,L,3.8,0.6,D,3.1,0.3,D,1.7,,L,0.7,,L,0.5,,L,7.4,0.5,D,1.4,,L,0.7,0.2,D,2.1,,L,12.3,0.9,D,1.8,,L,,,R,14.8,0.7,D,5.2,0.3,D,5.2,0.8,D,15.8,0.5,D,9.3,0.7,D,2.9,0.2,D,3,0.2,D,5.5,0.7,D
7061.09,7061,13.5,0.4,D,3.4,,L,2.5,,L,8.6,0.2,D,0.7,,L,6.8,0.2,D,5.1,0.4,D,9.2,0.8,D,2.9,0.5,D,2.2,0.2,D,11.6,0.6,D,4.2,,L,8.9,0.7,D,2.8,,L,19,0.6,D,6.8,,L,5.1,0.2,D,31.4,0.7,D,13.8,0.7,D,12.4,0.5,D,22.4,0.6,D,25.5,0.3,D,10.3,0.2,D,9.6,0.6,D,12.1,0.5,D
7062.69,7062,21.6,0.5,C,1.4,,L,,,R,4.6,0.2,D,0.8,,L,,,R,10.6,0.2,D,9.3,0.8,D,2,,L,,,R,15.6,0.6,D,3.1,,L,20.6,1,C,3,,L,33.4,0.8,D,22.6,1.4,D,3.3,0.3,C,41.4,0.5,D,16,0.1,D,25.6,0.7,D,38.8,1.2,D,31.7,0.3,D,9.8,0.1,D,11.5,0.2,D,,,R
